it's amazing,12,60,LOC1,17/07/2021 17:00:00,20,50,90,David Cape;Kinley Stan;Michael Russ,15;20;25,opener;middler;headliner
he's a great comedian,12,75,LOC4,16/08/2021 20:00:00,200,250,400,Mitchy Simons;Elize Craftman;Withney Cops,15;20;25,opener;middler;headliner
10/10,15,90,LOC3,12/11/2022 18:00:00,100,120,300,London Paris;Rafael Waters;Mimond Martins,15;20;25,opener;middler;headliner
would recommend,15,100,LOC2,27/07/2021 10:00:00,30,70,88,Andrew Craft;Liam Nison;Arnols Shwartz,15;20;25,opener;middler;headliner
I laughed a lot,12,120,LOC9,07/05/2021 16:30:00,40,50,70,Rafael Waters;Luise Michaels;Alexander Lipst,15;20;25,opener;middler;headliner
best comedian,18,93,LOC9,15/08/2021 11:00:00,36,78,90,Vladimir Nabukov;William Nison;John Carnell,15;20;25,opener;middler;headliner
Better than anything,18,96,LOC9,17/07/2022 18:00:00,22,50,80,Horia Mihai;Charlie Chon;Renee Weiz,15;20;25,opener;middler;headliner
everyone loves it,12,95,LOC8,22/03/2021 19:00:00,23,56,60,Francisc Lone;Ditch Dirson;Moby Lison,15;20;25,opener;middler;headliner
from your favourite comedian,17,100,LOC6,18/02/2021 20:00:00,34,66,78,James Corden-Bleu;Esmelinda;Michael Walsalsa,15;20;25,opener;middler;headliner
best people,16,120,LOC7,16/06/2021 21:00:00,34,25,67,Mia Mimo;Lia Twain;Mark Stein,15;20;25,opener;middler;headliner
